Μ65Χ	        1.222  	5
Μ66Μ	        2.436  	10
Μ66Χ	           652  	2
Μ67Μ	        2.428  	12
Μ67Χ	           996  	7
Μ68Μ	        1.712  	9
Μ68Χ	           731  	4
Μ68Α	           151  	1
Μ69Μ	        1.533  	9
Μ69Χ	           428  	2
Μ71Μ	        1.323  	7
Μ71Χ	           405  	2
Μ72Μ	        1.681  	9
Μ72Χ	           490  	3
Μ73Μ	        2.249  	18
Μ73Χ	           584  	4
Μ74Α	           350  	2
Μ75Μ	        1.455  	8
Μ75Χ	           405  	2
Μ76Μ	        1.292  	7
Μ76Χ	           389  	2
Μ77Μ	        2.257  	13
Μ77Χ	        1.058  	6
Μ78Μ	        1.463  	8
Μ78Χ	           475  	2
Μ79Μ	        2.942  	17
Μ79Χ	        1.370  	8 	 
Δ01Μ	        8.557  	15
Δ01Χ	        6.452  	9
Δ06Α	        1.383  	3
Δ07Α	           605  	1
Δ08Μ	        2.294  	11
Δ08Χ	           791  	2
Δ09Α	           688  	2
Δ10Α	           672  	1
Δ11Α	           404  	1
Δ12Μ	        4.871  	23
Δ12Χα	        3.097  	13
Δ12Χβ	        1.774  	8
Δ13Μ	        2.856  	12
Δ13Χ	           915  	4
Δ14Α	        4.198  	8
Δ20Μ	        2.669  	16
Δ20Χ	        1.471  	9
Δ20Α	           171  	1
Δ22Μ	           965  	5
Δ22Χ	           688  	2
Δ23Μ	           965  	5
Δ23Χ	           366  	2
Δ24Μ	        1.619  	9
Δ24Χ	           802  	4
Δ25Μ	        1.105  	6
Δ25Χ	           350  	2
Δ27Μ	           708  	3
Δ27Χ	           199  	1
Δ28Μ	        1.969  	10
Δ28Χ	           965  	4
Δ28Α	           382  	1
Δ29Μ	        2.171  	11
Δ29Χ	        1.377  	7
Δ29Α	           161  	1 	 
Θ01Μ	        6.202  	27
Θ01Χ	        2.801  	12
Θ02Μ	        5.135  	10
Θ02Χ	        3.515  	6
Θ03Α	        3.297  	6
Θ04Μ	        4.378  	8
Θ04Χ	        2.848  	2
Θ05Μ	        2.587  	8
Θ05Χ	        1.218  	2
Θ06Μ	        2.620  	5
Θ06Χ	        1.581  	2
Θ07Α	        1.276  	3
Θ08Α	           952  	1
Θ09Μ	        4.895  	19
Θ09Χα	        2.080  	7
Θ09Χβ	        1.765  	3
Θ20Μ	        4.296  	18
Θ20Χ	        1.580  	7
Θ20Α	           297  	1
Θ20Μ	        1.735  	8
Θ20Χ	           731  	3
Θ21Α	        2.599  	12
Θ22Μ	        1.393  	7
Θ22Χ	           482  	2
Θ23Μ	        1.074  	4
Θ23Χ	           405  	2
Θ24Μ	        1.829  	9
Θ24Χ	           669  	2 	 
Υ02Μ	        3.111  	10
Υ02Χ	        1.189  	2
Υ03Μα	        6.431  	15
Υ03Μβ	        4.426  	9
Υ03Χ	        2.992  	5
Υ04Μ	        4.355  	15
Υ04Χα	        2.361  	7
Υ04Χβ	        1.605  	3
Υ05Μ	        2.848  	11
Υ05Χ	        1.000  	3
Υ06Μ	        2.381  	9
Υ06Χ	           808  	2
Υ07Μ	        1.218  	5
Υ07Χ	           680  	1
Υ08Μ	        1.271  	5
Υ08Χ	           631  	2
Υ09Μ	        4.729  	17
Υ09Χα	        1.919  	4
Υ09Χβ	        1.035  	2
Υ20Α	           767  	2
Υ21Α	           231  	1
Υ22Α	           482  	1
Υ20Μα	        2.934  	12
Υ20Μβ	        1.300  	6
